"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"tiagopzk","<U+0001F970><U+0001F60D>","Twitter for iPhone",850,15,"",1302318,"@fukintayson <U+0001F970><U+0001F60D>"
"DukiSSJ","-Sirve para todos los juegos
-Detecto problemas si la pc está tildada, freezeada, lenta, etc
-La opti es general, no para solo juegos
-Me hablan coordinamos y me adapto a lo que necesiten
-Formatear y optimizar sale 4500$, para aquellos q no saben cómo se formatear
Buen finde<U+2665><U+FE0F>","Twitter for iPhone",0,12,"LAS NUBES",2840073,"-Sirve para todos los juegos
-Detecto problemas si la pc está tildada, freezeada, lenta, etc
-La opti es general, no para solo juegos
-Me hablan coordinamos y me adapto a lo que necesiten
-Formatear y optimizar sale 4500$, para aquellos q no saben cómo se formatear
Buen finde<U+2665><U+FE0F>"
"bizarrap","Un millón y medio de comentarios en 10 minutos tiene Biza en Instagram. La session con Paulo Londra va a paralizar el mundo, no sé cuántas visitas va a tener en las primeras 24 horas.","Twitter for iPhone",0,6357,"Buenos Aires, Argentina",3278395,"Un millón y medio de comentarios en 10 minutos tiene Biza en Instagram. La session con Paulo Londra va a paralizar el mundo, no sé cuántas visitas va a tener en las primeras 24 horas."
"tiagopzk","Todo parece estar bien, pero nada es lo que parece, no supe darte mi cien aunque lo traté muchas veces..","Twitter for iPhone",19714,2024,"",1302318,"Todo parece estar bien, pero nada es lo que parece, no supe darte mi cien aunque lo traté muchas veces.."
"emimernes_","te mueves fantástica
hacemo una dupla galáctica <U+0001F6F8>","Twitter for iPhone",74673,4252,"Argentina",1017029,"te mueves fantástica
hacemo una dupla galáctica <U+0001F6F8>"
"DukiSSJ","El leyendo ","Twitter for iPhone",0,192,"LAS NUBES",2840073,"@emimernes_ El @DukiSSJ leyendo https://t.co/sla3GnbTmB"
"TruenoOficiaI","LA ETAPA ATREVIDO ESTÁ POR TERMINAR <U+0001F440>","Twitter for iPhone",15664,370,"Buenos Aires, Argentina",1348060,"LA ETAPA ATREVIDO ESTÁ POR TERMINAR <U+0001F440>"
"DukiSSJ","uacho faltan 50 entradas para agotar el ultimo opera trap aca en buenos aires, para vos que te falta entrada DALE LOCO 
quiero que desaparezcan hoy corte puff

","Twitter for iPhone",0,22,"LAS NUBES",2840074,"uacho faltan 50 entradas para agotar el ultimo opera trap aca en buenos aires, para vos que te falta entrada DALE LOCO 
quiero que desaparezcan hoy corte puff

https://t.co/6QMrifT1ts"
"bizarrap","les dejo un poco d cómo creamos la ultima session<U+0001F3B9> ","Twitter for iPhone",18003,818,"Buenos Aires, Argentina",3278395,"les dejo un poco d cómo creamos la ultima session<U+0001F3B9> @el_moraddd https://t.co/mbsWUQwlgK"
"KiddKeo95Flames","Toy sintiendome solo ultimamente","Twitter for iPhone",5056,1292,"ROCKPORT",473625,"Toy sintiendome solo ultimamente"
"tiagopzk","Tengo una adición a ver videos de comida","Twitter for iPhone",37785,2566,"",1302318,"Tengo una adición a ver videos de comida"
"rusherkingg","Vamo a salir a rumbear o nos quedamos en mi cuarto?","Twitter for iPhone",15526,794,"Santiago del Estero, Argentina",854599,"Vamo a salir a rumbear o nos quedamos en mi cuarto?"
"DukiSSJ","Ah, somos una bocha tonces","Twitter for iPhone",1595,13,"LAS NUBES",2840074,"@IIT4YLOR @LITkillah Ah, somos una bocha tonces"
"KiddKeo95Flames","Os vemos esta noche en LOGROÑO ","Twitter for iPhone",889,15,"ROCKPORT",473625,"Os vemos esta noche en LOGROÑO https://t.co/bQBeT9iBEw"
"DukiSSJ","toy pa sacar otro álbum<U+0001F914>","Twitter for iPhone",0,223,"LAS NUBES",2840074,"toy pa sacar otro álbum<U+0001F914>"
"MariaBecerra22","Nooo! Era un chiste JAJAJJAJSJAJAJJA","Twitter for iPhone",351,15,"",2294625,"@becerravocals Nooo! Era un chiste JAJAJJAJSJAJAJJA"
"tiagopzk","Querías atención y yo te puse en el centro
Querías mi corazón y te lo puse en descuento","Twitter for iPhone",19246,2204,"",1302318,"Querías atención y yo te puse en el centro
Querías mi corazón y te lo puse en descuento"
"rusherkingg","Tuve una parálisis del sueño la peor","Twitter for iPhone",12524,214,"Santiago del Estero, Argentina",854599,"Tuve una parálisis del sueño la peor"
"KiddKeo95Flames","Soy un trocito de mierda que se cree mucho.","Twitter for iPhone",3831,738,"ROCKPORT",473625,"Soy un trocito de mierda que se cree mucho."
"bizarrap","YA ESTÁ EN SPOTIFY 

","Twitter for iPhone",27238,1201,"Buenos Aires, Argentina",3278395,"YA ESTÁ EN SPOTIFY 

https://t.co/oa9ONejkdl"
"PauloLondra","Basketeo nocturno <U+26F9><U+FE0F><U+200D><U+2642><U+FE0F>
#leonesconflow 

Ph: pamesaban romoreno1 en Córdoba, Argentina ","Instagram",4204,136,"",1741703,"Basketeo nocturno <U+26F9><U+FE0F><U+200D><U+2642><U+FE0F>
#leonesconflow 

Ph: pamesaban romoreno1 en Córdoba, Argentina https://t.co/rlBh3Apr9k"
"TruenoOficiaI","RAP and ROLL <U+0001F525><U+0001F605><U+0001F618> ","Twitter for iPhone",11486,364,"Buenos Aires, Argentina",1348060,"RAP and ROLL <U+0001F525><U+0001F605><U+0001F618> https://t.co/xJOoyYgRk4"
"MariaBecerra22","Festival de la manzana alla vooooy<U+0001F485><U+0001F3FC><U+2665><U+FE0F>","Twitter for iPhone",19586,363,"",2294625,"Festival de la manzana alla vooooy<U+0001F485><U+0001F3FC><U+2665><U+FE0F>"
"tiagopzk","Vos te pegaste antes que me pegue, a mi merced arriba del Mercedez","Twitter for iPhone",9488,187,"",1302318,"Vos te pegaste antes que me pegue, a mi merced arriba del Mercedez"
"rusherkingg","<U+0001F607> ","Twitter for iPhone",17685,274,"Santiago del Estero, Argentina",854599,"<U+0001F607> https://t.co/s3k8hBkwBR"
"TruenoOficiaI","Me estuviste mirando?","Twitter for iPhone",2244,81,"Buenos Aires, Argentina",1348060,"@naikinai19 Me estuviste mirando?"
"MariaBecerra22","Ya afuera “Felices x Siempre”<U+0001F60D><U+2665><U+FE0F> ","Twitter for iPhone",6560,589,"",2294625,"Ya afuera “Felices x Siempre”<U+0001F60D><U+2665><U+FE0F> https://t.co/Y8UKstEvuF"
"bizarrap","Luz Milagros Díaz tiene 13 años, estrá desaparecida desde el 7/11 en Puerto Rico, provincia de Misiones. Se hizo la denuncia. Por favor compartir, y si la ven avisar #URGENTE  a la policía local, o al <U+260E><U+FE0F>911

#PuertoRico 
#Misiones ","Twitter for iPhone",0,1563,"Buenos Aires, Argentina",3278395,"Luz Milagros Díaz tiene 13 años, estrá desaparecida desde el 7/11 en Puerto Rico, provincia de Misiones. Se hizo la denuncia. Por favor compartir, y si la ven avisar #URGENTE  a la policía local, o al <U+260E><U+FE0F>911

#PuertoRico 
#Misiones https://t.co/AmwWvDtDXL"
"KiddKeo95Flames","#FLEX","Twitter for iPhone",148,2,"ROCKPORT",473625,"https://t.co/3chS23HuAp #FLEX"
"kheayf","PALO ","Twitter for iPhone",6492,155,"Argentina",1515685,"PALO https://t.co/7mL4b3ikeG"
"MariaBecerra22","Que lindo ver a mis amigxs y colegas representando en los premios<U+0001F97A><U+0001F64F><U+0001F3FD><U+0001F1E6><U+0001F1F7>","Twitter for iPhone",18101,282,"",2294625,"Que lindo ver a mis amigxs y colegas representando en los premios<U+0001F97A><U+0001F64F><U+0001F3FD><U+0001F1E6><U+0001F1F7>"
"MariaBecerra22","cómo se hace para dejar de escuchar marte de sofia reyes y maria becerra, es muy bueno","Twitter for iPhone",0,2445,"",2294625,"cómo se hace para dejar de escuchar marte de sofia reyes y maria becerra, es muy bueno"
"DukiSSJ","<U+0001F91D>","Twitter for iPhone",0,12,"LAS NUBES",2840074,"@DukiSSJ @LuknCSGO <U+0001F91D>"
"tiagopzk","<U+0001F970><U+0001F970><U+0001F970><U+0001F970><U+0001F970><U+0001F970>","Twitter for iPhone",589,16,"",1302318,"@fukintayson <U+0001F970><U+0001F970><U+0001F970><U+0001F970><U+0001F970><U+0001F970>"
"cazzuoficial","Es Yo, yo y yo ! Jeje","Twitter for iPhone",73,7,"Buenos Aires, Argentina",1653203,"@Cazzubaby9 Es Yo, yo y yo ! Jeje"
"PauloLondra","Ósea que voy a llegar al billon?
<U+0001F62E><U+200D><U+0001F4A8>","Twitter for iPhone",79990,2003,"",1741703,"Ósea que voy a llegar al billon?
<U+0001F62E><U+200D><U+0001F4A8>"
"DukiSSJ","Ven a Peruu Dukoo porfavooorrrr","Twitter for iPhone",0,18,"LAS NUBES",2840073,"@DukiSSJ Ven a Peruu Dukoo porfavooorrrr"
"cazzuoficial","PE ERREEEEE <U+0001F1F5><U+0001F1F7> <U+0001F5A4>","Twitter for iPhone",3917,102,"Buenos Aires, Argentina",1653203,"PE ERREEEEE <U+0001F1F5><U+0001F1F7> <U+0001F5A4>"
"tiagopzk","t traño ","Twitter for iPhone",2469,104,"",1302318,"@fukintayson t traño https://t.co/u2ie6dxBRP"
"DukiSSJ","2x1 vs 00nation. seguimos en pie loco, vamos carajo.","Twitter for iPhone",0,230,"LAS NUBES",2840073,"2x1 vs 00nation. seguimos en pie loco, vamos carajo."
"kheayf","<U+0001F498><U+0001F498>","Twitter for iPhone",181,4,"Argentina",1515685,"@khe13ki <U+0001F498><U+0001F498>"
"DukiSSJ","Ke palo ","Twitter for iPhone",1697,70,"LAS NUBES",2840074,"Ke palo @LuchoSSJYB 

https://t.co/4N3sCmADbI"
"TruenoOficiaI","USTEDES QUIEREN EL SEGUNDO DISCO O QUE","Twitter for iPhone",23116,770,"Buenos Aires, Argentina",1348060,"USTEDES QUIEREN EL SEGUNDO DISCO O QUE"
"DukiSSJ","Buen día pa escuchar LegenDaddy","Twitter for iPhone",19946,1789,"LAS NUBES",2840073,"Buen día pa escuchar LegenDaddy"
"DukiSSJ","CÓRDOBA <U+0001F972> CBA KLK!??
ESTE JUEVES ESTOY ALLÁAAAA

¿Ya tenés tu entrada?

","Twitter for iPhone",0,11,"LAS NUBES",2840074,"CÓRDOBA <U+0001F972> CBA KLK!??
ESTE JUEVES ESTOY ALLÁAAAA

¿Ya tenés tu entrada?

https://t.co/grIurAzhZ6 https://t.co/DDN7ff5HlV"
"rusherkingg","JAJAJAJAJA PAJINNN","Twitter for iPhone",5067,62,"Santiago del Estero, Argentina",854599,"@tiagopzk JAJAJAJAJA PAJINNN"
"emimernes_","Nadie:

Yo cuando salgo de noche:

<U+0001F441><U+FE0F>      <U+0001F441><U+FE0F>
  °  <U+0001F443><U+0001F3FC>  °
      <U+0001F444>","Twitter for iPhone",0,1369,"Argentina",1017029,"Nadie:

Yo cuando salgo de noche:

<U+0001F441><U+FE0F>      <U+0001F441><U+FE0F>
  °  <U+0001F443><U+0001F3FC>  °
      <U+0001F444>"
"emimernes_","martes y que mejor que hacerle promo a “esto recién empieza” de y <U+0001F498> 

•si queres pegar folletos en tu ciudad pedinos el archivo listo para imprimir! <U+0001F4E9> ","Twitter for iPhone",0,93,"Argentina",1017029,"martes y que mejor que hacerle promo a “esto recién empieza” de @DukiSSJ y @emimernes_ <U+0001F498> 

•si queres pegar folletos en tu ciudad pedinos el archivo listo para imprimir! <U+0001F4E9> https://t.co/ioAquGleSK"
"DukiSSJ","<U+0336>d<U+0336><U+0336>u<U+0336><U+0336>k<U+0336><U+0336>i<U+0336><U+0336>l<U+0336><U+0336>i<U+0336><U+0336>a<U+0336>
tiaduko ","Twitter for iPhone",0,251,"LAS NUBES",2840074,"<U+0336>d<U+0336><U+0336>u<U+0336><U+0336>k<U+0336><U+0336>i<U+0336><U+0336>l<U+0336><U+0336>i<U+0336><U+0336>a<U+0336>
tiaduko https://t.co/w8OArotmWb"
"MariaBecerra22","Maria Becerra cuenta que su próximo álbum llamado “La Nena de Argentina” será MUY versátil, tendrá diferentes géneros como bachatas, reggaeton old school, baladas y guarachas. ","Twitter for iPhone",0,247,"",2294625,"Maria Becerra cuenta que su próximo álbum llamado “La Nena de Argentina” será MUY versátil, tendrá diferentes géneros como bachatas, reggaeton old school, baladas y guarachas. https://t.co/5fb7e0yJ5W"
"cazzuoficial","yo nunca pretendí ser, premio que un varón presume <U+0001F577>","Twitter for iPhone",10106,900,"Buenos Aires, Argentina",1653203,"yo nunca pretendí ser, premio que un varón presume <U+0001F577>"
"tiagopzk","Hoy se cumple 1 año del lanzamiento del remix de ""Además de Mi""<U+0001F4A5>

La unión entre Rusherking - Tiago PZK - Khea - Duki - Maria Becerra - LIT killah fue un antes y un después para la escena urbana argentina <U+0001F1E6><U+0001F1F7> ","Twitter for iPhone",0,265,"",1302318,"Hoy se cumple 1 año del lanzamiento del remix de ""Además de Mi""<U+0001F4A5>

La unión entre Rusherking - Tiago PZK - Khea - Duki - Maria Becerra - LIT killah fue un antes y un después para la escena urbana argentina <U+0001F1E6><U+0001F1F7> https://t.co/F1Nza2wp6a"
"LITkillah","Jajajajja es buenisimo t lo voy a robar permiso ","Twitter for iPhone",38905,2289,"Argentina",1569130,"Jajajajja es buenisimo t lo voy a robar permiso https://t.co/TcWoRwRxPa"
"DukiSSJ","Aaaaaaaaaaa falta un díaaaaaaaaaaaaaaa","Twitter for iPhone",0,23155,"LAS NUBES",2840073,"Aaaaaaaaaaa falta un díaaaaaaaaaaaaaaa"
"rusherkingg","Noooo este finde trabajo, estoy con muchos ensayos y proyectos que ya se van a enterar <U+2764><U+FE0F>","Twitter for iPhone",156,8,"Santiago del Estero, Argentina",854599,"@dukoyouking Noooo este finde trabajo, estoy con muchos ensayos y proyectos que ya se van a enterar <U+2764><U+FE0F>"
"LITkillah","FELIZ 2022, se pika enero con el REMIX de ENTRE NOSOTROS ft ??????? &amp; ??????","Twitter for iPhone",44548,1356,"Argentina",1569130,"FELIZ 2022, se pika enero con el REMIX de ENTRE NOSOTROS @tiagopzk @LITkillah ft ??????? &amp; ??????"
"tiagopzk","A leeeestoooo ","Twitter for iPhone",84089,1142,"",1302318,"A leeeestoooo https://t.co/QWPKo3nHcw"
"cazzuoficial","Tranqui… en 10 ","Twitter for iPhone",3511,104,"Buenos Aires, Argentina",1653203,"Tranqui… en 10 https://t.co/iNmCsrg2yM"
"cazzuoficial","pero a pesar de lo k te pude dar, no vamos a vernos, no vamos a hablar <U+0001F494>","Twitter for iPhone",18416,2797,"Buenos Aires, Argentina",1653203,"pero a pesar de lo k te pude dar, no vamos a vernos, no vamos a hablar <U+0001F494>"
"rusherkingg","El mejor jugador de la historia 
LEBRAAAAAAN JAMES","Twitter for iPhone",0,183,"Santiago del Estero, Argentina",854599,"El mejor jugador de la historia 
LEBRAAAAAAN JAMES"
"DukiSSJ","Biza me dijo ke yo era la 23 B, pero a también. A cuantos mas habrá engañado…","Twitter for iPhone",158484,3287,"LAS NUBES",2840074,"Biza me dijo ke yo era la 23 B, pero a @LITkillah también. A cuantos mas habrá engañado…"
"MariaBecerra22","<U+0001F97A><U+0001F97A><U+0001F62D> ","Twitter for iPhone",4949,123,"",2294625,"<U+0001F97A><U+0001F97A><U+0001F62D> https://t.co/fdY7wwqE7g"
"MariaBecerra22","<U+2665><U+FE0F><U+0001F1E8><U+0001F1F1><U+2665><U+FE0F> ","Twitter for iPhone",3193,90,"",2294625,"<U+2665><U+FE0F><U+0001F1E8><U+0001F1F1><U+2665><U+FE0F> https://t.co/69OQERUVx4"
"bizarrap","muchas gracias Leila, sos una genia<U+0001F5A4>","Twitter for iPhone",819,1,"Buenos Aires, Argentina",3278395,"@leilacobo muchas gracias Leila, sos una genia<U+0001F5A4>"
"TruenoOficiaI","Ft","Twitter for iPhone",984,65,"Buenos Aires, Argentina",1348060,"@archivetrueno Ft"
"MariaBecerra22","<U+0001F5A4> ","Twitter for iPhone",116140,1650,"",2294625,"<U+0001F5A4> https://t.co/yfXULswUAy"
"bizarrap","asi e mi caserío<U+0001F1F5><U+0001F1F7>","Twitter for iPhone",17930,441,"Buenos Aires, Argentina",3278395,"asi e mi caserío<U+0001F1F5><U+0001F1F7>"
"rusherkingg","<U+0001F9DE><U+200D><U+2642><U+FE0F><U+0001F9DE><U+200D><U+2642><U+FE0F><U+0001F9DE><U+200D><U+2642><U+FE0F> ","Twitter for iPhone",19427,308,"Santiago del Estero, Argentina",854599,"<U+0001F9DE><U+200D><U+2642><U+FE0F><U+0001F9DE><U+200D><U+2642><U+FE0F><U+0001F9DE><U+200D><U+2642><U+FE0F> https://t.co/cgOT8Kylt7"
"bizarrap","Bizarrap <U+0001F1E6><U+0001F1F7> empata a Paulo Londra <U+0001F1E6><U+0001F1F7> y se convierte en el segundo argentino en colocar 11 temas en el TOP 200 GLOBAL de Spotify<U+0001F7E2><U+0001F4A5>

Biza haciendo historia nuevamente<U+0001F44F><U+0001F3FB> ","Twitter for iPhone",0,158,"Buenos Aires, Argentina",3278395,"Bizarrap <U+0001F1E6><U+0001F1F7> empata a Paulo Londra <U+0001F1E6><U+0001F1F7> y se convierte en el segundo argentino en colocar 11 temas en el TOP 200 GLOBAL de Spotify<U+0001F7E2><U+0001F4A5>

Biza haciendo historia nuevamente<U+0001F44F><U+0001F3FB> https://t.co/PyMfDcHFi5"
"LITkillah","wacho me re emociono leer esto posta, lo leí entero y me senti muy bien, jamas me hubiese imaginado todo lo q pasaba por tu cabeza en ese momento! gracias por todo<U+2764><U+FE0F> todavia no caigo en lo q puedo generar en los demas, porq me siento uno mas de ustedes ","Twitter for iPhone",18302,702,"Argentina",1569130,"wacho me re emociono leer esto posta, lo leí entero y me senti muy bien, jamas me hubiese imaginado todo lo q pasaba por tu cabeza en ese momento! gracias por todo<U+2764><U+FE0F> todavia no caigo en lo q puedo generar en los demas, porq me siento uno mas de ustedes https://t.co/yzMovK25M1"
"KiddKeo95Flames","Divertida Entrevista #GQ ","Twitter for iPhone",123,2,"ROCKPORT",473625,"Divertida Entrevista #GQ https://t.co/d18Cf9tnsw"
"MariaBecerra22","Queee? Ay amor de mi vidaaaaa<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F97A><U+2665><U+FE0F> muchisimas gracias por tanto amor!! Te llevo en el corazón por siempre<U+2665><U+FE0F><U+0001F64F><U+0001F3FD> ","Twitter for iPhone",14638,237,"",2294625,"Queee? Ay amor de mi vidaaaaa<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F97A><U+2665><U+FE0F> muchisimas gracias por tanto amor!! Te llevo en el corazón por siempre<U+2665><U+FE0F><U+0001F64F><U+0001F3FD> https://t.co/hidFsELsOw"
"cazzuoficial","NO.","Twitter for iPhone",657,39,"Buenos Aires, Argentina",1653203,"@pableshiff @balfederico NO."
"TruenoOficiaI","Se que solo hablo del barrio es que tengo a la boca tatuada en la piel","Twitter for iPhone",16692,620,"Buenos Aires, Argentina",1348060,"Se que solo hablo del barrio es que tengo a la boca tatuada en la piel"
"rusherkingg","Okay petisito","Twitter for iPhone",2093,20,"Santiago del Estero, Argentina",854599,"@Martinpdisalvo Okay petisito"
"rusherkingg","No me puedo dormir del hambre","Twitter for iPhone",10194,326,"Santiago del Estero, Argentina",854599,"No me puedo dormir del hambre"
"emimernes_","a ber quien ez","Twitter for iPhone",8998,52,"Argentina",1017029,"@bizarrap a ber quien ez"
"tiagopzk","Ni en mi mejor momento tengo necesidad de frontear, disfruten el momento con los suyos, más na<U+2764><U+FE0F>","Twitter for iPhone",24070,988,"",1302318,"Ni en mi mejor momento tengo necesidad de frontear, disfruten el momento con los suyos, más na<U+2764><U+FE0F>"
"kheayf","nos metemo en la cocina y no fallamos un plato","Twitter for iPhone",3989,62,"Argentina",1515685,"@rusherkingg nos metemo en la cocina y no fallamos un plato"
"KiddKeo95Flames","El mejor sentimiento que puede existir es sentir PAZ al llegar a casa...<U+0001F486><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F499>","Twitter for iPhone",812,99,"ROCKPORT",473625,"El mejor sentimiento que puede existir es sentir PAZ al llegar a casa...<U+0001F486><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F499>"
"LITkillah","En media hora sale el video de #MalaMia con mi hermanito el dale q rompemooooouuu","Twitter for iPhone",12480,398,"Argentina",1569130,"En media hora sale el video de #MalaMia con mi hermanito el @DukiSSJ dale q rompemooooouuu"
"LITkillah","Wenaa","Twitter for iPhone",5898,69,"Argentina",1569130,"@bizarrap Wenaa"
"rusherkingg","???? ","Twitter for iPhone",9430,216,"Santiago del Estero, Argentina",854599,"???? @FMK026 @big_one_real https://t.co/aLjiJUlQNc"
"DukiSSJ","#YaSupisteTour <U+0001F1F2><U+0001F1FD> + <U+0001F1EA><U+0001F1F8> + <U+0001F1E8><U+0001F1F1> + …. Por donde seguimos?

Mañana sumamos otro país.","Twitter for iPhone",13749,258,"LAS NUBES",2840074,"#YaSupisteTour <U+0001F1F2><U+0001F1FD> + <U+0001F1EA><U+0001F1F8> + <U+0001F1E8><U+0001F1F1> + …. Por donde seguimos?

Mañana sumamos otro país."
"DukiSSJ","El leyendo ","Twitter for iPhone",0,192,"LAS NUBES",2840074,"@emimernes_ El @DukiSSJ leyendo https://t.co/sla3GnbTmB"
"emimernes_","te puse un stop pa bajar tu autoestima <U+0001F974>","Twitter for iPhone",5850,100,"Argentina",1017029,"@Martinpdisalvo te puse un stop pa bajar tu autoestima <U+0001F974>"
"DukiSSJ","JAJAJAJAJ full mecanik","Twitter for iPhone",3037,19,"LAS NUBES",2840073,"@saramalacara_ @lara91k JAJAJAJAJ full mecanik"
"rusherkingg","Estoy enamorao del color verde","Twitter for iPhone",14752,823,"Santiago del Estero, Argentina",854599,"Estoy enamorao del color verde"
"kheayf","Donde estás de Khea es un golpe muy duro","Twitter for iPhone",0,1429,"Argentina",1515685,"Donde estás de Khea es un golpe muy duro"
"bizarrap","Acá cerrando el con tocando el Himno Nacional Argentino. ","Twitter for iPhone",0,590,"Buenos Aires, Argentina",3278395,"Acá @gasparbenegas cerrando el @lollapaloozaar con @bizarrap tocando el Himno Nacional Argentino. https://t.co/B6waRZLsPR"
"kheayf","100%","Twitter for iPhone",477,10,"Argentina",1515685,"@Tygas_03 100%"
"DukiSSJ","ES HOY ES HOY ES HOY ES HOY","Twitter for iPhone",36688,1380,"LAS NUBES",2840074,"ES HOY ES HOY ES HOY ES HOY"
"bizarrap","biza con luisito jfkshdj ","Twitter for iPhone",0,424,"Buenos Aires, Argentina",3278395,"biza con luisito jfkshdj https://t.co/XIoAdSBKKH"
"DukiSSJ","2x0 vd voy al major ctmreeeeeeee","Twitter for iPhone",0,544,"LAS NUBES",2840073,"2x0 vd @paiNGamingBR voy al major ctmreeeeeeee"
"PauloLondra","Al fin una faiti","Twitter for iPhone",2531,52,"",1741703,"Al fin una faiti"
"DukiSSJ","Voy a empezar a tocar pininfarina en el vivo","Twitter for iPhone",57456,1022,"LAS NUBES",2840073,"Voy a empezar a tocar pininfarina en el vivo"
"LITkillah","Hoy me hice 4 temasos, ufff","Twitter for iPhone",23261,477,"Argentina",1569130,"Hoy me hice 4 temasos, ufff"
"kheayf","JAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJAJJA LA CONCHA DE LALORAAAAAA","Twitter for iPhone",2694,31,"Argentina",1515685,"@SRfranketooo @DukiSSJ @tiagopzk JAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJAJJA LA CONCHA DE LALORAAAAAA"
"KiddKeo95Flames","<U+0001F451><U+0001F98D> ","Twitter for iPhone",0,4,"ROCKPORT",473625,"@KiddKeo95Flames <U+0001F451><U+0001F98D> https://t.co/n47ScbW1RR"
"bizarrap","El 8 de febrero del 2019 arrancaban las BZRP Music Sessions de la mano de Bhavi.
Hoy se cumplen tres años y Spotify nos regaló este video de ambos artistas contando el detrás de escena del inicio de la historia. ","Twitter for iPhone",0,346,"Buenos Aires, Argentina",3278395,"El 8 de febrero del 2019 arrancaban las BZRP Music Sessions de la mano de Bhavi.
Hoy se cumplen tres años y Spotify nos regaló este video de ambos artistas contando el detrás de escena del inicio de la historia. https://t.co/rf0chxP7Gm"
"bizarrap","no soy yo","Twitter for iPhone",20688,119,"Buenos Aires, Argentina",3278395,"@mery_soldier no soy yo"
"kheayf","increible hoy que fiestón te amo ","Twitter for iPhone",0,95,"Argentina",1515685,"increible hoy que fiestón te amo @kheayf https://t.co/BGwD5gOSWR"
"PauloLondra","Pásenle el micrófono al que sabe 

#leonesconflow 
#thelifeofpaulo
#delaplazapaldomun ","Instagram",2725,121,"",1741703,"Pásenle el micrófono al que sabe 

#leonesconflow 
#thelifeofpaulo
#delaplazapaldomun https://t.co/wRYk3A7SeH"
"TruenoOficiaI","23/12","Twitter for iPhone",9436,369,"Buenos Aires, Argentina",1348060,"23/12"
"TruenoOficiaI","Gracias por la invitación malditoo, es un honorrr yatusabee, nos fuimos pa Panama","Twitter for iPhone",0,146,"Buenos Aires, Argentina",1348060,"@TruenoOficiaI @rth_vlsco Gracias por la invitación malditoo, es un honorrr yatusabee, nos fuimos pa Panama"
